"ID","来源/标准","需求","状态","设计/代码定位","测试证据","备注"
"RTO-01","RFC 6298 2/5","初值1s、SRTT/RTTVAR、单timer、指数退避","IMPLEMENTED","src/tju_tcp.c:tju_rto_update_values/timer_main","verification/t1_wire_seq_test.c; evidence/loss5_client.event.trace","trace显示1/2/4/8秒"
"RTO-02","RFC 6298 3","Karn禁止歧义RTT样本","IMPLEMENTED","src/tju_tcp.c:acknowledge_locked","evidence/loss5_client.event.trace","累计ACK覆盖重传段时sample_rtt=NA"
"RTO-03","指导书5.3","第3个合格dupACK基本快速重传","IMPLEMENTED","src/tju_tcp.c:acknowledge_locked","evidence/loss5_client.event.trace: dupack=3/FAST_RETRANSMIT","T7 cwnd反应未接入"
"FLOW-01","指导书5.4","通告min(space,65535)且失序占空间","IMPLEMENTED","src/tju_tcp.c:advertised_window_locked; recv_used+rx_ooo_bytes","verification/t1_wire_seq_test.c","65536编码65535"
"FLOW-02","指导书5.4","新数据不越过rwnd右边界","IMPLEMENTED","src/tju_tcp.c:flush_send_locked","evidence/zero_window_client.event.trace","旧在途数据不删除"
"FLOW-03","指导书5.4; RFC 9293 3.8.6.1","零窗probe退避和窗口更新","IMPLEMENTED","src/tju_tcp.c:timer_main/tju_recv/tju_handle_packet_len","t1_t6_zero_window_*.log; evidence/zero_window_*.event.trace","实测首次约1.0006s、后续约2.0013s"
"FIN-01","指导书5.2; RFC 9293","双向/同时关闭、FIN占序号、TIME_WAIT","IMPLEMENTED","src/tju_tcp.c:tju_close/consume_fin_if_ready_locked/enter_time_wait_locked","t1_t6_autotest_close.log=100/100; evidence/handshake_close_decoded.csv","FIN前发送队列先排空"
"FIN-02","指导书5.2","2*TJU_MSL","PARTIAL","src/tju_tcp.c:enter_time_wait_locked","trace显示当前10s TIME_WAIT","TJU_MSL=5s来自当前实现假定，课程平台精确值仍UNKNOWN"
"LOCK-01","用户强制规则","共享连接状态有锁且cond为谓词循环","IMPLEMENTED","src/tju_tcp.c:tju_internal.lock及五个cond; tju_connect/accept/send/recv/close","ASan/UBSan与多场景回归PASS","每连接一把主锁，无锁顺序环"
"LIFE-01","用户强制规则","timer可回收且ACK/timeout不UAF","IMPLEMENTED","src/tju_tcp.c:timer_main/destroy_internal/tju_close/tju_connect失败路径","t1_t6_asan_client_final.log; t1_t6_asan_server_final.log","框架全局receive_thread仍detached，进程级生命周期"
"BUILD-01","Makefile","clean/rebuild记录全部warning","IMPLEMENTED","Makefile; verification/run_clean_build.sh","t1_t6_clean_rebuild_final.log","源码0 warning；课程test_rdt_client.c有1个fstat warning"
"TEST-01","连接自动验收","学生客户端SYN与ACK","IMPLEMENTED","生产接口直接受测","t1_t6_autotest_establish_final.log: client 60/60","服务端0/40由测试器报告其模拟客户端首SYN丢失"
"TEST-02","关闭自动验收","先后与同时关闭","IMPLEMENTED","关闭状态机","t1_t6_autotest_close.log: 100/100","最终自定义同时关闭也双方0"
"TEST-03","可靠传输验收流程","100MB发送后立即close","IMPLEMENTED","数据队列+FIN排空","t1_t6_100mb_final_*.log; t1_t6_100mb_final_hashes.log","100000000字节SHA-256一致"
"SAN-01","用户强制规则","ASan/UBSan","IMPLEMENTED","最终源码","t1_t6_asan_ubsan_final.log; t1_t6_asan_*_final.log","集成测试detect_leaks=0，边界测试detect_leaks=1"
"SAN-02","用户强制规则","TSan单独构建","BLOCKED","verification/run_tsan.sh","t1_t6_tsan.log","链接器缺libtsan_preinit.o"
"CC-01","任务边界","基础Reno/cwnd/ssthresh","NOT_IMPLEMENTED","T7明确不在当前阶段","NOT_RUN","T1-T6发送上限仅接rwnd"
